Z1,Z2,Z3,Z4,,,mean,stdev,variance,max,min
-16088,-18404,-17212,-16516,,,,,,,
-16176,-18348,-17184,-16500,,,,,,,
-16080,-18216,-17148,-16404,,,,,,,
-15956,-18436,-17132,-16324,,,,,,,
-16216,-18392,-17272,-16392,,,,,,,
-15956,-18280,-17088,-16416,,,,,,,
-16076,-18440,-17076,-16580,,,,,,,
-16240,-18336,-17204,-16356,,,,,,,
-16168,-18328,-17100,-16576,,,,,,,
-16032,-18288,-17240,-16460,,,,,,,
-16020,-18384,-17176,-16420,,,,,,,
-16164,-18344,-17088,-16440,,,,,,,
-16244,-18420,-17168,-16336,,,,,,,
-15984,-18436,-17256,-16428,,,,,,,
-16236,-18452,-17132,-16440,,,,,,,
-16124,-18428,-17248,-16592,,,,,,,
-16052,-18500,-17272,-16484,,,,,,,
-16124,-18596,-17160,-16492,,,,,,,
-16076,-18456,-17260,-16380,,,,,,,
-16056,-18496,-17128,-16436,,,,,,,
-16084,-18456,-17228,-16424,,,,,,,
-16124,-18508,-17112,-16500,,,,,,,
-15996,-18412,-17112,-16376,,,,,,,
-16180,-18520,-17176,-16456,,,,,,,
-16212,-18464,-17216,-16476,,,,,,,
-16228,-18380,-17316,-16540,,,,,,,
-16128,-18348,-17180,-16620,,,,,,,
-16172,-18316,-17176,-16444,,,,,,,
-16188,-18380,-17064,-16472,,,,,,,
-16128,-18464,-17300,-16504,,,,,,,
-16004,-18384,-17168,-16468,,,,,,,
-16132,-18416,-17228,-16400,,,,,,,
